Run,Tissue,Nvox,Mean,Median,P10,P90,P95,P99,Max
20260211T174510,GM,552430,6.13859101654193,5.78348159790039,3.52890956401825,9.38553714752197,10.3451900482178,12.2933818817139,18.2109870910645
20260211T174510,WM,937738,4.7664362165728,4.32242441177368,2.45129730701447,7.77120628356934,8.97785339355469,11.3692351150513,19.8583679199219
20260211T174510,CSF,404380,6.85125758095104,3.39093446731567,1.43206751346588,11.073543548584,21.9421529769897,75.3657417297367,413.909149169922
20260211T174510,Skull,596114,26.0925564886746,14.14715051651,4.64710049629211,55.3367763519287,95.4801300048828,213.428875732421,601.158081054688
20260211T174510,Scalp,1274474,14.9378176259079,8.35009813308716,4.33332471847534,27.1867973327637,47.5420906066895,127.575749816895,605.242980957031
20260211T174510,Air,39444,31.8007006516878,26.6447772979736,11.3058624267578,58.7715671539307,72.7195739746093,108.787278289795,234.049102783203
20260211T182002,GM,552430,6.86381693029228,6.30755043029785,3.65876305103302,10.9995574951172,12.4438886642456,15.1190074920654,25.4788265228271
20260211T182002,WM,937738,4.82982040598985,4.36044812202454,2.28876671791077,7.98678078651428,9.39001235961914,12.2426138687134,22.0115795135498
20260211T182002,CSF,404380,4.94792768128905,3.2585391998291,1.29620337486267,7.98520755767822,12.5256094932556,40.9255802154542,220.541534423828
20260211T182002,Skull,596114,14.3943511459072,8.22341585159302,3.33015549182892,27.9813154220581,49.0088035583495,117.601645812988,344.767547607422
20260211T182002,Scalp,1274463,51.3718860796324,5.57787799835205,3.11112818717957,16.9357986450195,28.6212553977966,77.9363426208493,420025.59375
20260211T182002,Air,39444,19.5822286727027,16.9666738510132,8.77834491729736,32.8917003631592,40.2136028289795,58.756432647705,121.23299407959
