Location,CenterX,CenterY,CenterZ,Nvox,Mean,Median,P10,P90,P95,Max
Base,93,104,83,25087,4.55045543508351,4.53188943862915,2.6006799697876,6.6046799659729,7.09084067344665,11.2154207229614
Xplus,118,104,83,28928,7.65503830636596,7.75963163375854,4.62450714111328,10.4788946151733,11.0175308227539,13.1940603256226
Xminus,68,104,83,29055,7.57506436947147,7.82198143005371,4.5029935836792,10.172890663147,10.6843452453613,13.8904247283936
Yplus,93,129,83,23863,5.15350868107662,4.79839181900024,2.56854696273804,8.50729007720947,9.30843687057495,10.9179105758667
Yminus,93,79,83,22429,3.65965074752272,3.39919686317444,2.02602524757385,5.74495792388916,6.32707664966583,9.77839660644531
