Location,CenterX,CenterY,CenterZ,Nvox,Mean,Median,P10,P90,P95,Max
Base,93,104,83,25087,4.49541293115211,4.30573177337646,2.24427919387817,7.1044023513794,7.9134416103363,12.4692411422729
Xplus,118,104,83,28928,8.7660251136589,8.74232864379883,4.35515155792236,13.1394685745239,14.2284615516663,18.3701763153076
Xminus,68,104,83,29055,8.60162041674709,8.83698654174805,4.18149328231812,12.5945224761963,13.580512046814,18.8709030151367
Yplus,93,129,83,23863,5.24362403824529,4.49386167526245,2.19363236427307,9.57647380828858,10.849942445755,14.7671432495117
Yminus,93,79,83,22429,3.45409161099046,3.09864592552185,1.75963666439056,5.81040592193604,6.47896234989166,10.8905448913574
