A_Location,A_CenterX,A_CenterY,A_CenterZ,A_Nvox,A_Mean,A_Median,A_P10,A_P90,A_P95,A_Max,B_CenterX,B_CenterY,B_CenterZ,B_Nvox,B_Mean,B_Median,B_P10,B_P90,B_P95,B_Max,PctMedian_FanVsDefault,PctP95_FanVsDefault
Base,93,104,83,25087,4.55045543508351,4.53188943862915,2.6006799697876,6.6046799659729,7.09084067344665,11.2154207229614,93,104,83,25087,4.49541293115211,4.30573177337646,2.24427919387817,7.1044023513794,7.9134416103363,12.4692411422729,-4.99036148863112,11.6008943758965
Xplus,118,104,83,28928,7.65503830636596,7.75963163375854,4.62450714111328,10.4788946151733,11.0175308227539,13.1940603256226,118,104,83,28928,8.7660251136589,8.74232864379883,4.35515155792236,13.1394685745239,14.2284615516663,18.3701763153076,12.6642224324803,29.1438325026606
Xminus,68,104,83,29055,7.57506436947147,7.82198143005371,4.5029935836792,10.172890663147,10.6843452453613,13.8904247283936,68,104,83,29055,8.60162041674709,8.83698654174805,4.18149328231812,12.5945224761963,13.580512046814,18.8709030151367,12.9763170722251,27.106638122819
Yplus,93,129,83,23863,5.15350868107662,4.79839181900024,2.56854696273804,8.50729007720947,9.30843687057495,10.9179105758667,93,129,83,23863,5.24362403824529,4.49386167526245,2.19363236427307,9.57647380828858,10.849942445755,14.7671432495117,-6.34650431279785,16.5603054155411
Yminus,93,79,83,22429,3.65965074752272,3.39919686317444,2.02602524757385,5.74495792388916,6.32707664966583,9.77839660644531,93,79,83,22429,3.45409161099046,3.09864592552185,1.75963666439056,5.81040592193604,6.47896234989166,10.8905448913574,-8.84182204651458,2.40056678045541
