Row,Nvox,Mean,Median,P10,P90,P95,Max
GM,552430,0.130928788640922,0.123296782374382,0.0750521197915077,0.199767172336578,0.220447480678558,0.400523215532303
WM,937738,0.101621074673873,0.0920516662299633,0.0521790333092213,0.165884798765183,0.191502583026886,0.412672013044357
Brain_GMplusWM,1490168,0.11248593046652,0.104516956955194,0.058051298931241,0.180996200442314,0.207094651460648,0.412672013044357
