names,VoxelCount,A_median,B_median,PctMedian,A_P95,B_P95,PctP95
Base_Z83,25087,4.53188943862915,4.30573177337646,-4.99036148863102,7.09084067344665,7.9134416103363,11.6008943758964
Xplus_Z83,28928,7.75963163375854,8.74232864379883,12.6642224324802,11.0175308227539,14.2284615516663,29.1438325026602
Xminus_Z83,29055,7.82198143005371,8.83698654174805,12.9763170722251,10.6843452453613,13.580512046814,27.1066381228183
Yplus_Z83,23863,4.79839181900024,4.49386167526245,-6.34650431279792,9.30843687057495,10.849942445755,16.5603054155412
Yminus_Z83,22429,3.39919686317444,3.09864592552185,-8.84182204651453,6.32707664966583,6.47896234989166,2.4005667804554
Base_Z98,24933,3.46286845207214,3.15575671195984,-8.86870940559501,5.84803881645203,5.99458754062652,2.50594650230806
Xplus_Z98,29838,6.61560297012329,7.6645565032959,15.8557509861124,10.8146873474121,13.7374923706055,27.0262553997252
Xminus_Z98,29839,6.34469366073608,7.32253694534302,15.4119857773163,10.4812383651733,13.055606174469,24.561676011965
Yplus_Z98,23323,3.35467863082886,3.03680229187012,-9.47561224009708,6.88360373973846,7.29635422229767,5.99613949560212
Yminus_Z98,28430,3.05133152008057,2.68246984481812,-12.0885479940479,5.3944263458252,5.59274578094482,3.67637673416582
Base_Z68,25298,5.09613537788391,4.9880359172821,-2.12120464991833,6.95108795166016,7.44521465301514,7.1086239275244
Xplus_Z68,30796,6.83039999008179,7.10382556915283,4.0030683337444,10.5582891464233,13.330281162262,26.2541779013283
Xminus_Z68,30982,6.83718061447144,7.04428267478943,3.02905644878892,10.0486577987671,12.6114990234375,25.5043138695086
Yplus_Z68,24352,6.35991954803467,6.45547485351562,1.50246091572786,8.9800347328186,10.0550337791443,11.9709898492594
Yminus_Z68,20873,3.39723539352417,3.26417994499207,-3.91658019299268,5.55519757270813,5.47704529762268,-1.40683160342305
